column_name,type,description,notes
trip_id,integer,unique ID of the trip,"do not confuse with trip_id_sl, which is StreetLight's numbering system"
lines_geom,geometry (includes an M coordinate with the timestamp),line of GPS trace,
start_geom,geometry,start point of GPS trace,
end_geom,geometry,end point of GPS trace,
edge_ids,array,"array of edge_ids, in the order traversed, for the 400m buffer",
match_score,float,a score to estimate the probability of a successful match based on a logistic regression model,
matched_line,geometry,"(NOT IMPLEMENTED) line of GPS trace, snapped to the street network",
lbuff_geom_cleaned,geometryM,cleaned version of lbuff_geom (errant points dropped),
lines_original,geometryM,"original version of lines_geom, before dropping some errrant pings",
lines_tmp,,"intermediate column, safe to drop",
npings,integer,number of GPS pings,
id_first,integer,"index of last point befofre the 400m buffer is entered for the first time (i.e., the point before the first point in the 400m buffer)","The linestring is made of of multiple points (nodes). This helps narrow down the linestring to the portion in the 400m buffer, for subsequent calculations."
id_firstx2,integer,"index of last point befofre the 800m buffer is entered for the first time (i.e., the point before the first point in the 800m buffer)",
id_walk,integer,index of point that marks the transition to the walk segment ,
id_park,integer,index of point that marks the transition to the parking lot segment ,
maxspeed,float,maximum speed between any two pings after entering the 400m buffer. Useful in eliminating trips with an errant GPS point,
speed,float,average speed after entering the 400m buffer,
donutspeed,float,average speed in the 'donut' (after entering the 800m buffer but before entering the 400m buffer),
walkspeed,float,"average speed (km/h)  of walk segment (calculated from raw GPS trace, not map matched)",
pingtime_meanall,float,average temporal resolution of the entire trace,
pingtime_maxall,float,maximum temporal resolution of the entire trace,
pingtime_meanbuf,float,average temporal resolution of the trace after entering the 400m buffer,
pingtime_maxbuf,float,maximum temporal resolution of the trace after entering the 400m buffer,
npingsbuf,float,number of GPS pings after entering the 400m buffer,
npingsdonut,float,number of GPS pings in the donut,
npingswalk,integer,number of pings on the walk segment,
pingtime_meanwalk,float,average temporal resolution of the walk segment of the trace,
pt_maxwalk,float,maximum temporal resolution of the walk segment of the trace,
npingspark,integer,number of pings in the parking lot segment,
lbuff_geom,geometryM,"portion of the trace after entering the 400m buffer, until the trace parks or enters the lot. This is the key portion of the trace for analysis",
lineswalk_geom,geometry (includes an M coordinate with the timestamp),"linesall_geom400, after  the point where the walk segment starts",
